,Story_ID,Emotion_Category,Rating_o,Rating_1,Rating_2,Rating_3
183,Arnold C 0.0,disgust,4.96,2.82,4.675,2.74
184,Arnold C 0.0,disgust,4.96,2.82,4.675,3.2
185,Arnold C 0.0,disgust,4.96,2.82,3.266666667,3.64
186,Arnold C 0.0,disgust,4.96,3.5,2.25,3.425
187,Arnold C 0.0,disgust,4.96,3.5,3.575,3.14
188,Arnold C 0.0,disgust,4.96,3.5,1.725,0.84
189,Arnold C 0.0,disgust,4.96,0.32,0.0,2.025
190,Arnold C 0.0,disgust,4.96,0.32,0.3,0.0
191,Arnold C 0.0,disgust,4.96,0.32,0.45,0.1
192,Arnold C 0.0,disgust,4.96,4.828571429,4.066666667,4.2
193,Arnold C 0.0,disgust,4.96,4.828571429,3.2,4.075
194,Arnold C 0.0,disgust,4.96,4.828571429,5.1,4.175
195,Arnold C 0.0,disgust,4.96,4.45,2.466666667,0.8
196,Arnold C 0.0,disgust,4.96,4.45,4.975,4.3
197,Arnold C 0.0,disgust,4.96,4.45,3.625,1.7
198,Arnold C 0.0,disgust,4.96,4.366666667,4.575,1.525
199,Arnold C 0.0,disgust,4.96,4.366666667,4.05,5.5
200,Arnold C 0.0,disgust,4.96,4.366666667,4.9,4.9
201,Arnold C 0.0,disgust,4.96,0.45,0.5,0.9
202,Arnold C 0.0,disgust,4.96,0.45,0.5,0.1
203,Arnold C 0.0,disgust,4.96,0.45,0.775,0.0
204,Arnold C 0.0,disgust,4.96,0.45,0.775,0.0
205,Arnold C 0.0,disgust,4.96,0.45,0.025,1.35
206,Arnold C 0.0,disgust,4.96,1.85,2.425,2.94
207,Arnold C 0.0,disgust,4.96,1.85,1.2,0.0
208,Arnold C 0.0,disgust,4.96,1.85,0.0,0.025
209,Arnold C 0.0,disgust,4.96,4.0,2.525,0.1
210,Arnold C 0.0,disgust,4.96,4.0,2.525,0.25
211,Arnold C 0.0,disgust,4.96,4.0,4.766666667,6.533333333
212,Arnold C 0.0,disgust,4.96,4.0,5.675,2.975
213,Arnold C 0.0,disgust,4.96,3.96,3.4,2.15
214,Arnold C 0.0,disgust,4.96,3.96,5.05,3.85
215,Arnold C 0.0,disgust,4.96,3.96,5.05,2.233333333
216,Arnold C 0.0,disgust,4.96,3.96,2.7,3.76
217,Arnold C 0.0,disgust,4.96,4.616666667,3.625,3.25
218,Arnold C 0.0,disgust,4.96,4.616666667,3.45,1.9
219,Arnold C 0.0,disgust,4.96,4.616666667,3.45,2.9
220,Arnold C 0.0,disgust,4.96,,3.925,4.65
221,Arnold C 0.0,disgust,4.96,,0.2,0.0
222,Arnold C 0.0,disgust,4.96,,5.65,3.85
223,Arnold C 0.0,disgust,4.96,6.36,4.133333333,1.75
224,Arnold C 0.0,disgust,4.96,6.36,4.6,5.05
